Fecha,TMAX,TMIN,Prec
2026-01-01,29.0,10.0,0.0
2026-01-02,27.0,11.0,0.0
2026-01-03,20.0,9.0,1.3
2026-01-04,22.0,10.0,0.0
2026-01-05,30.0,8.0,0.0
2026-01-06,26.0,15.0,0.0
2026-01-07,32.0,12.0,0.0
2026-01-08,26.0,11.0,0.0
2026-01-09,27.0,12.0,0.3
2026-01-10,36.0,11.0,0.0
2026-01-11,37.0,17.0,0.0
2026-01-12,33.0,18.0,0.3
2026-01-13,37.0,16.0,8.0
2026-01-14,27.0,15.0,0.1
2026-01-15,28.0,9.0,0.0
2026-01-16,37.0,13.0,0.0
2026-01-17,37.0,10.0,0.0
2026-01-18,37.0,18.0,1.0
2026-01-19,31.0,8.0,0.0
2026-01-20,29.0,15.0,0.0
2026-01-21,39.0,16.0,2.1
2026-01-22,30.0,10.0,0.0
2026-01-23,28.0,13.0,0.0
2026-01-24,19.0,9.0,0.3
2026-01-25,34.0,11.0,0.0
2026-01-26,31.0,7.0,0.0
2026-01-27,33.0,12.0,0.0
2026-01-28,37.0,12.0,0.0
2026-01-29,30.0,13.0,0.0
2026-01-30,26.0,16.0,9.5
2026-01-31,29.0,15.0,0.0
2026-02-01,31.0,16.0,0.4
2026-02-02,36.0,18.0,0.8
2026-02-03,30.0,19.0,5.7
2026-02-04,31.0,13.0,0.0
2026-02-05,30.0,16.0,0.9
2026-02-06,28.0,11.0,0.0
2026-02-07,26.0,12.0,0.0
2026-02-08,30.0,11.0,0.0
2026-02-09,29.0,15.0,5.0
2026-02-10,32.0,15.0,0.0
2026-02-11,26.0,14.0,3.0
2026-02-12,28.0,11.0,0.0
2026-02-13,22.0,10.0,0.0
2026-02-14,27.0,9.0,0.0
2026-02-15,24.0,15.0,3.9
2026-02-16,31.0,14.0,0.0
2026-02-17,31.0,14.0,0.0
2026-02-18,32.0,16.0,2.6
2026-02-19,24.0,12.0,11.2
2026-02-20,30.0,8.0,0.0
2026-02-21,31.0,14.0,0.0
2026-02-22,29.0,15.0,0.0
2026-02-23,30.0,16.0,0.0
2026-02-24,26.0,14.0,1.3
2026-02-25,21.0,12.0,0.1
2026-02-26,26.0,7.0,0.0
2026-02-27,29.0,11.0,0.0
2026-02-28,31.0,14.0,0.0
2026-03-01,33.0,17.0,0.0
2026-03-02,31.0,15.0,0.2
2026-03-03,27.0,17.0,4.2
2026-03-04,29.0,13.0,0.0
2026-03-05,24.0,10.0,0.0
2026-03-06,23.0,11.0,0.0
2026-03-07,25.0,10.0,0.0
2026-03-08,25.0,9.0,0.0
2026-03-09,26.0,11.0,0.0
2026-03-10,27.0,13.0,0.0
2026-03-11,28.0,12.0,0.0
2026-03-12,28.0,14.0,0.0
2026-03-13,29.0,15.0,0.0
2026-03-14,27.0,15.0,0.0
2026-03-15,31.0,15.0,0.0
2026-03-16,26.0,18.0,19.0
2026-03-17,23.0,13.0,35.7
2026-03-18,23.0,10.0,0.0
2026-03-19,26.0,12.0,0.0
2026-03-20,27.0,14.0,0.3
2026-03-21,21.0,13.0,53.4
2026-03-22,24.0,11.0,0.0
2026-03-23,18.0,10.0,8.3
2026-03-24,26.0,9.0,0.0
2026-03-25,24.0,12.0,0.0
2026-03-26,26.0,9.0,0.0
2026-03-27,28.0,13.0,0.0
2026-03-28,29.0,16.0,2.6
2026-03-29,28.0,18.0,2.6
2026-03-30,29.0,19.0,0.0
2026-03-31,28.0,18.0,7.5
2026-04-01,24.0,18.0,5.7
2026-04-02,26.0,15.0,24.6
2026-04-03,27.0,12.0,0.5
2026-04-04,27.0,12.0,0.5
2026-04-05,18.0,7.0,0.2
2026-04-06,16.0,6.0,0.0
2026-04-07,16.0,5.0,0.0
2026-04-08,16.0,4.0,0.0
2026-04-09,19.0,9.0,0.6
